id,image_url
91,https://archives.bulbagarden.net/media/upload/9/90/0091Cloyster.png
92,https://archives.bulbagarden.net/media/upload/c/c2/0092Gastly.png
93,https://archives.bulbagarden.net/media/upload/d/d1/0093Haunter.png
94,https://archives.bulbagarden.net/media/upload/4/47/0094Gengar.png
95,https://archives.bulbagarden.net/media/upload/b/b7/0095Onix.png
96,https://archives.bulbagarden.net/media/upload/e/e4/0096Drowzee.png
97,https://archives.bulbagarden.net/media/upload/4/4c/0097Hypno.png
98,https://archives.bulbagarden.net/media/upload/e/ed/0098Krabby.png
99,https://archives.bulbagarden.net/media/upload/a/ae/0099Kingler.png
100,https://archives.bulbagarden.net/media/upload/5/55/0100Voltorb.png
101,https://archives.bulbagarden.net/media/upload/d/db/0101Electrode.png
102,https://archives.bulbagarden.net/media/upload/6/60/0102Exeggcute.png
103,https://archives.bulbagarden.net/media/upload/a/ae/0103Exeggutor.png
104,https://archives.bulbagarden.net/media/upload/1/19/0104Cubone.png
105,https://archives.bulbagarden.net/media/upload/a/a1/0105Marowak.png
106,https://archives.bulbagarden.net/media/upload/0/00/0106Hitmonlee.png
107,https://archives.bulbagarden.net/media/upload/c/c0/0107Hitmonchan.png
108,https://archives.bulbagarden.net/media/upload/f/f2/0108Lickitung.png
109,https://archives.bulbagarden.net/media/upload/1/16/0109Koffing.png
110,https://archives.bulbagarden.net/media/upload/7/72/0110Weezing.png
111,https://archives.bulbagarden.net/media/upload/7/7f/0111Rhyhorn.png
112,https://archives.bulbagarden.net/media/upload/7/79/0112Rhydon.png
113,https://archives.bulbagarden.net/media/upload/c/c0/0113Chansey.png
114,https://archives.bulbagarden.net/media/upload/2/22/0114Tangela.png
115,https://archives.bulbagarden.net/media/upload/e/e5/0115Kangaskhan.png
116,https://archives.bulbagarden.net/media/upload/1/14/0116Horsea.png
117,https://archives.bulbagarden.net/media/upload/2/22/0117Seadra.png
118,https://archives.bulbagarden.net/media/upload/b/b6/0118Goldeen.png
119,https://archives.bulbagarden.net/media/upload/7/76/0119Seaking.png
120,https://archives.bulbagarden.net/media/upload/3/38/0120Staryu.png
121,https://archives.bulbagarden.net/media/upload/a/aa/0121Starmie.png
122,https://archives.bulbagarden.net/media/upload/f/fb/0122Mr._Mime.png
123,https://archives.bulbagarden.net/media/upload/8/81/0123Scyther.png
124,https://archives.bulbagarden.net/media/upload/0/07/0124Jynx.png
125,https://archives.bulbagarden.net/media/upload/5/5c/0125Electabuzz.png
126,https://archives.bulbagarden.net/media/upload/7/72/0126Magmar.png
127,https://archives.bulbagarden.net/media/upload/a/a9/0127Pinsir.png
128,https://archives.bulbagarden.net/media/upload/a/ad/0128Tauros.png
129,https://archives.bulbagarden.net/media/upload/d/d1/0129Magikarp.png
130,https://archives.bulbagarden.net/media/upload/b/bc/0130Gyarados.png
131,https://archives.bulbagarden.net/media/upload/9/99/0131Lapras.png
132,https://archives.bulbagarden.net/media/upload/2/25/0132Ditto.png
133,https://archives.bulbagarden.net/media/upload/4/4c/0133Eevee.png
134,https://archives.bulbagarden.net/media/upload/6/6d/0134Vaporeon.png
135,https://archives.bulbagarden.net/media/upload/e/e3/0135Jolteon.png
136,https://archives.bulbagarden.net/media/upload/f/f1/0136Flareon.png
137,https://archives.bulbagarden.net/media/upload/8/8e/0137Porygon.png
138,https://archives.bulbagarden.net/media/upload/e/e6/0138Omanyte.png
139,https://archives.bulbagarden.net/media/upload/6/66/0139Omastar.png
140,https://archives.bulbagarden.net/media/upload/d/d2/0140Kabuto.png
141,https://archives.bulbagarden.net/media/upload/4/41/0141Kabutops.png
142,https://archives.bulbagarden.net/media/upload/2/2c/0142Aerodactyl.png
143,https://archives.bulbagarden.net/media/upload/3/3f/0143Snorlax.png
147,https://archives.bulbagarden.net/media/upload/a/ae/0147Dratini.png
148,https://archives.bulbagarden.net/media/upload/0/0d/0148Dragonair.png
149,https://archives.bulbagarden.net/media/upload/1/1c/0149Dragonite.png
