id,image_url,name
78,https://archives.bulbagarden.net/media/upload/a/a9/0078Rapidash.png,Rapidash
79,https://archives.bulbagarden.net/media/upload/1/19/0079Slowpoke.png,Slowpoke
80,https://archives.bulbagarden.net/media/upload/a/a3/0080Slowbro.png,Slowbro
81,https://archives.bulbagarden.net/media/upload/a/a2/0081Magnemite.png,Magnemite
82,https://archives.bulbagarden.net/media/upload/d/d9/0082Magneton.png,Magneton
83,https://archives.bulbagarden.net/media/upload/9/99/0083Farfetch'd.png,Farfetch'd
84,https://archives.bulbagarden.net/media/upload/b/b9/0084Doduo.png,Doduo
85,https://archives.bulbagarden.net/media/upload/9/97/0085Dodrio.png,Dodrio
86,https://archives.bulbagarden.net/media/upload/2/22/0086Seel.png,Seel
87,https://archives.bulbagarden.net/media/upload/2/2b/0087Dewgong.png,Dewgong
88,https://archives.bulbagarden.net/media/upload/e/eb/0088Grimer.png,Grimer
89,https://archives.bulbagarden.net/media/upload/4/41/0089Muk.png,Muk
90,https://archives.bulbagarden.net/media/upload/3/3e/0090Shellder.png,Shellder
91,https://archives.bulbagarden.net/media/upload/9/90/0091Cloyster.png,Cloyster
92,https://archives.bulbagarden.net/media/upload/c/c2/0092Gastly.png,Gastly
93,https://archives.bulbagarden.net/media/upload/d/d1/0093Haunter.png,Haunter
94,https://archives.bulbagarden.net/media/upload/4/47/0094Gengar.png,Gengar
95,https://archives.bulbagarden.net/media/upload/b/b7/0095Onix.png,Onix
96,https://archives.bulbagarden.net/media/upload/e/e4/0096Drowzee.png,Drowzee
97,https://archives.bulbagarden.net/media/upload/4/4c/0097Hypno.png,Hypno
98,https://archives.bulbagarden.net/media/upload/e/ed/0098Krabby.png,Krabby
99,https://archives.bulbagarden.net/media/upload/a/ae/0099Kingler.png,Kingler
100,https://archives.bulbagarden.net/media/upload/5/55/0100Voltorb.png,Voltorb
101,https://archives.bulbagarden.net/media/upload/d/db/0101Electrode.png,Electrode
102,https://archives.bulbagarden.net/media/upload/6/60/0102Exeggcute.png,Exeggcute
103,https://archives.bulbagarden.net/media/upload/a/ae/0103Exeggutor.png,Exeggutor
104,https://archives.bulbagarden.net/media/upload/1/19/0104Cubone.png,Cubone
105,https://archives.bulbagarden.net/media/upload/a/a1/0105Marowak.png,Marowak
106,https://archives.bulbagarden.net/media/upload/0/00/0106Hitmonlee.png,Hitmonlee
107,https://archives.bulbagarden.net/media/upload/c/c0/0107Hitmonchan.png,Hitmonchan
108,https://archives.bulbagarden.net/media/upload/f/f2/0108Lickitung.png,Lickitung
109,https://archives.bulbagarden.net/media/upload/1/16/0109Koffing.png,Koffing
110,https://archives.bulbagarden.net/media/upload/7/72/0110Weezing.png,Weezing
111,https://archives.bulbagarden.net/media/upload/7/7f/0111Rhyhorn.png,Rhyhorn
112,https://archives.bulbagarden.net/media/upload/7/79/0112Rhydon.png,Rhydon
113,https://archives.bulbagarden.net/media/upload/c/c0/0113Chansey.png,Chansey
114,https://archives.bulbagarden.net/media/upload/2/22/0114Tangela.png,Tangela
115,https://archives.bulbagarden.net/media/upload/e/e5/0115Kangaskhan.png,Kangaskhan
116,https://archives.bulbagarden.net/media/upload/1/14/0116Horsea.png,Horsea
117,https://archives.bulbagarden.net/media/upload/2/22/0117Seadra.png,Seadra
118,https://archives.bulbagarden.net/media/upload/b/b6/0118Goldeen.png,Goldeen
119,https://archives.bulbagarden.net/media/upload/7/76/0119Seaking.png,Seaking
120,https://archives.bulbagarden.net/media/upload/3/38/0120Staryu.png,Staryu
121,https://archives.bulbagarden.net/media/upload/a/aa/0121Starmie.png,Starmie
122,https://archives.bulbagarden.net/media/upload/f/fb/0122Mr._Mime.png,Mr._Mime
123,https://archives.bulbagarden.net/media/upload/8/81/0123Scyther.png,Scyther
124,https://archives.bulbagarden.net/media/upload/0/07/0124Jynx.png,Jynx
125,https://archives.bulbagarden.net/media/upload/5/5c/0125Electabuzz.png,Electabuzz
126,https://archives.bulbagarden.net/media/upload/7/72/0126Magmar.png,Magmar
